"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "Docker", "Properties", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "PostCSS", "comment", "blank", "total"
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/demoZal/three.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/demoZal/two.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/header/oldBg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/production/platformPlaceholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/animations/CartAnimation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 20, 130
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/animations/CartAnimationContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 11, 55
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/animations/ScrollReveal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/animations/StaggerContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/animations/StaggerItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/animations/useCartAnimation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/BlogCardProps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 10, 82
